current_date,Prec_Ishikari,avtem,Flow
2002\01\01,1.98046,-9.1,481.754
2002\01\02,1.79031,-9.9,481.754
2002\01\03,4.78853,-10,481.754
2002\01\04,3.48356,-6.3,481.754
2002\01\05,0.18772,-8.4,481.754
2002\01\06,0.1505,-5.4,481.754
2002\01\07,0.09671,-6.4,481.754
2002\01\08,10.61847,0.1,481.754
2002\01\09,7.34675,-2.6,481.754
2002\01\10,4.05027,-5.7,481.754
2002\01\11,3.81759,-5.9,481.754
2002\01\12,1.60559,-5.7,481.754
2002\01\13,3.44037,-6.9,481.754
2002\01\14,0.61214,-7.1,481.754
2002\01\15,5.18854,-2.5,481.754
2002\01\16,0.38988,-4.2,481.754
2002\01\17,0.44827,-6.2,481.754
2002\01\18,2.2447,-8.6,481.754
2002\01\19,2.23568,-7.9,481.754
2002\01\20,0.13185,-10,481.754
2002\01\21,11.09789,-1.6,138.156666667
2002\01\22,11.81137,1.9,373.844583333
2002\01\23,1.33319,-2.3,391.532916667
2002\01\24,2.27982,-4.3,330.724166667
2002\01\25,1.82685,-5.1,260.987916667
2002\01\26,0.58776,-5.8,191.045
2002\01\27,0.54487,-6.1,183.785416667
2002\01\28,1.4839,-5,295.224583333
2002\01\29,0.35204,-6,279.752083333
2002\01\30,0.12104,-6.1,234.65625
2002\01\31,0.54777,-6.6,214.52125
2002\02\01,1.69831,-7.1,199.268333333
2002\02\02,3.11876,-4.6,200.334166667
2002\02\03,0.52705,-4.8,153.89
2002\02\04,0.15563,-6.2,481.754
2002\02\05,0.0168,-2.1,481.754
2002\02\06,0.02271,-0.4,481.754
2002\02\07,0.93157,-0.3,481.754
2002\02\08,2.65349,0.3,481.754
2002\02\09,4.83693,-7,481.754
2002\02\10,2.92289,-9.3,481.754
2002\02\11,1.73165,-10.7,481.754
2002\02\12,3.98679,-7.8,481.754
2002\02\13,0.28044,-8.2,481.754
2002\02\14,1.53364,-10.3,199.24
2002\02\15,1.74083,-7.8,207.92375
2002\02\16,0.42871,-4.8,192.342916667
2002\02\17,2.31134,-2.2,187.63375
2002\02\18,9.95377,-0.3,289.065
2002\02\19,5.91602,-3.3,413.58625
2002\02\20,0.76739,-2.5,252.974583333
2002\02\21,1.10252,-3.6,204.2375
2002\02\22,4.41272,-1.9,193.764583333
2002\02\23,5.86678,-3,295.66125
2002\02\24,2.40525,-5,207.409583333
2002\02\25,0.41936,-2.9,172.967083333
2002\02\26,0.02844,-0.4,182.009166667
2002\02\27,0.04354,2.3,172.825416667
2002\02\28,0,2.1,183.89
2002\03\01,0,-0.1,191.972083333
2002\03\02,5.60787,-6.9,370.342083333
2002\03\03,2.66026,-7.7,237.3225
2002\03\04,3.64301,-6,208.429166667
2002\03\05,1.5225,-2.3,194.401666667
2002\03\06,0.95519,-2.7,210.774583333
2002\03\07,0.9517,-5.6,252.935
2002\03\08,1.85093,-6.4,215.175833333
2002\03\09,0.3579,0.2,194.357916667
2002\03\10,2.88554,0.4,296.226666667
2002\03\11,4.17588,-2.4,285.56125
2002\03\12,0.8515,-2.7,260.505416667
2002\03\13,0.14334,-1.7,231.468333333
2002\03\14,0.55884,1.9,248.14375
2002\03\15,0.35291,2,407.6025
2002\03\16,0.96883,-0.7,381.680416667
2002\03\17,1.77267,0.2,311.927083333
2002\03\18,0.52396,-1.4,290.3375
2002\03\19,0.15308,-0.7,284.316666667
2002\03\20,0.15147,1.8,355.14125
2002\03\21,5.66903,3.1,395.92125
2002\03\22,0.8781,2.1,673.269583333
2002\03\23,0.23576,0.9,557.59
2002\03\24,2.19176,-1.1,455.807916667
2002\03\25,1.13911,-0.6,355.53375
2002\03\26,0.32401,3.9,305.4525
2002\03\27,3.12544,1.5,529.61625
2002\03\28,0.75281,0.1,535.004583333
2002\03\29,1.57384,3.4,367.995
2002\03\30,4.89506,2.7,466.915833333
2002\03\31,0.10046,3.9,518.698333333
2002\04\01,0.56257,4.6,615.59375
2002\04\02,1.01507,5.6,997.272916667
2002\04\03,0.12923,3.6,1315.6825
2002\04\04,0.29282,3,1023.65041667
2002\04\05,0.04167,3,967.885833333
2002\04\06,0.01162,5.2,811.23375
2002\04\07,0.1746,4.7,752.244583333
2002\04\08,5.37619,5.9,820.889166667
2002\04\09,2.35691,4.3,1102.75791667
2002\04\10,0.66572,3.8,1266.33208333
2002\04\11,0.87238,5.3,870.778333333
2002\04\12,0.3418,5.5,739.770833333
2002\04\13,0.07355,5.7,617.93625
2002\04\14,0.37268,6.7,686.694166667
2002\04\15,0.35607,12.3,768.049166667
2002\04\16,11.00485,11.7,1308.65
2002\04\17,9.68097,9.8,1999.38958333
2002\04\18,1.81835,5.4,2644.47375
2002\04\19,0.57233,6.1,1533.48458333
2002\04\20,7E-05,11,871.573333333
2002\04\21,0.02558,12.4,822.627083333
2002\04\22,0.11766,11.4,900.432916667
2002\04\23,0,10.8,1007.05
2002\04\24,4.41896,10.9,1019.29
2002\04\25,21.62342,5.3,1535.25041667
2002\04\26,0,5.8,1571.51625
2002\04\27,0,7.4,668.980833333
2002\04\28,0,8.5,462.371666667
2002\04\29,0,8.8,423.702916667
2002\04\30,0.80819,6.6,454.442083333
2002\05\01,0.34361,7.1,573.745416667
2002\05\02,0.00048,7.4,360.195416667
2002\05\03,0,11.5,302.350833333
2002\05\04,9.44271,10.2,361.482916667
2002\05\05,0.23883,9,509.819583333
2002\05\06,0.95137,8.1,350.95
2002\05\07,0,10,232.7575
2002\05\08,0.02596,10.6,224.51125
2002\05\09,0,11.7,203.555833333
2002\05\10,0,11.5,186.477083333
2002\05\11,0.04773,8.7,190.105833333
2002\05\12,0.15979,10.8,240.5325
2002\05\13,0.4469,9.9,253.274166667
2002\05\14,0.07569,9.7,304.395416667
2002\05\15,0.00124,11.7,298.99875
2002\05\16,0,11.7,254.9825
2002\05\17,0,11,237.015
2002\05\18,0.96301,11,257.899583333
2002\05\19,2.97975,11.1,348.23
2002\05\20,1.74171,10.8,364.89
2002\05\21,0.77899,10.8,370.766666667
2002\05\22,0.00063,13.3,336.890416667
2002\05\23,3.11742,11.5,303.802083333
2002\05\24,7.1685,10.8,320.06625
2002\05\25,2.77013,9.3,398.304583333
2002\05\26,0.97208,8.7,335.821666667
2002\05\27,0.27859,12,304.867916667
2002\05\28,0.0062,14.4,329.212916667
2002\05\29,0.02539,15.4,328.341666667
2002\05\30,0.07033,17,309.58
2002\05\31,4.24865,14.4,383.836666667
